game_id,season,season_type,week,gameday,away_team,away_score,home_team,home_score,location,result,total,spread_line,total_line,div_game,roof,surface,temp,wind,away_coach,home_coach,stadium_id,stadium,game_type
2025_02_TB_HOU,2025,REG,2,2025-09-15,TB,20,HOU,19,Home,-1,39,2.5,42.5,0,closed,astroturf,,,Todd Bowles,DeMeco Ryans,HOU00,NRG Stadium,REG
2025_02_WAS_GB,2025,REG,2,2025-09-11,WAS,18,GB,27,Home,9,45,3.5,48.5,0,outdoors,grass,65.0,7.0,Dan Quinn,Matt LaFleur,GNB00,Lambeau Field,REG
2025_03_ARI_SF,2025,REG,3,2025-09-21,ARI,15,SF,16,Home,1,31,1.5,44.5,1,outdoors,grass,72.0,7.0,Jonathan Gannon,Kyle Shanahan,SFO01,Levi's Stadium,REG
2025_03_ATL_CAR,2025,REG,3,2025-09-21,ATL,0,CAR,30,Home,30,30,-5.5,44.5,1,outdoors,grass,83.0,5.0,Raheem Morris,Dave Canales,CAR00,Bank of America Stadium,REG
2025_03_CIN_MIN,2025,REG,3,2025-09-21,CIN,10,MIN,48,Home,38,58,3.0,41.5,0,dome,sportturf,,,Zac Taylor,Kevin O'Connell,MIN01,U.S. Bank Stadium,REG
2025_03_DAL_CHI,2025,REG,3,2025-09-21,DAL,14,CHI,31,Home,17,45,-1.5,49.5,0,outdoors,grass,82.0,4.0,Brian Schottenheimer,Ben Johnson,CHI98,Soldier Field,REG
2025_03_DEN_LAC,2025,REG,3,2025-09-21,DEN,20,LAC,23,Home,3,43,2.5,45.5,1,dome,matrixturf,,,Sean Payton,Jim Harbaugh,LAX01,SoFi Stadium,REG
2025_03_DET_BAL,2025,REG,3,2025-09-22,DET,38,BAL,30,Home,-8,68,4.5,53.5,0,outdoors,grass,74.0,7.0,Dan Campbell,John Harbaugh,BAL00,M&T Bank Stadium,REG
2025_03_GB_CLE,2025,REG,3,2025-09-21,GB,10,CLE,13,Home,3,23,-8.5,41.5,0,outdoors,grass,79.0,10.0,Matt LaFleur,Kevin Stefanski,CLE00,FirstEnergy Stadium,REG
2025_03_HOU_JAX,2025,REG,3,2025-09-21,HOU,10,JAX,17,Home,7,27,1.5,43.5,1,outdoors,grass,85.0,11.0,DeMeco Ryans,Liam Coen,JAX00,TIAA Bank Stadium,REG
2025_03_IND_TEN,2025,REG,3,2025-09-21,IND,41,TEN,20,Home,-21,61,-6.0,43.5,1,outdoors,grass,84.0,8.0,Shane Steichen,Brian Callahan,NAS00,Nissan Stadium,REG
2025_03_KC_NYG,2025,REG,3,2025-09-21,KC,22,NYG,9,Home,-13,31,-6.0,44.5,0,outdoors,fieldturf,65.0,5.0,Andy Reid,Brian Daboll,NYC01,MetLife Stadium,REG
2025_03_LA_PHI,2025,REG,3,2025-09-21,LA,26,PHI,33,Home,7,59,3.5,45.5,0,outdoors,grass,73.0,9.0,Sean McVay,Nick Sirianni,PHI00,Lincoln Financial Field,REG
2025_03_LV_WAS,2025,REG,3,2025-09-21,LV,24,WAS,41,Home,17,65,2.5,43.5,0,outdoors,grass,72.0,6.0,Pete Carroll,Dan Quinn,WAS00,FedExField,REG
2025_03_MIA_BUF,2025,REG,3,2025-09-18,MIA,21,BUF,31,Home,10,52,12.5,50.5,1,outdoors,a_turf,68.0,7.0,Mike McDaniel,Sean McDermott,BUF00,New Era Field,REG
2025_03_NO_SEA,2025,REG,3,2025-09-21,NO,13,SEA,44,Home,31,57,7.5,41.5,0,outdoors,fieldturf,63.0,3.0,Kellen Moore,Mike Macdonald,SEA00,Lumen Field,REG
2025_03_NYJ_TB,2025,REG,3,2025-09-21,NYJ,27,TB,29,Home,2,56,6.5,43.5,0,outdoors,grass,88.0,5.0,Aaron Glenn,Todd Bowles,TAM00,Raymond James Stadium,REG
2025_03_PIT_NE,2025,REG,3,2025-09-21,PIT,21,NE,14,Home,-7,35,-1.5,44.5,0,outdoors,fieldturf,66.0,5.0,Mike Tomlin,Mike Vrabel,BOS00,Gillette Stadium,REG
